VIDEO_ID,VIDEO_NAME,SENTENCE_ID,SENTENCE_NAME,START,END,SENTENCE
-0sphqZT1eQ,-0sphqZT1eQ-5-rgb_front,-0sphqZT1eQ_1,-0sphqZT1eQ_1-5-rgb_front,2.13,7.06,Today I'm going to teach you how to become a competitive baseball player.
-0yRaqY7nTE,-0yRaqY7nTE-5-rgb_front,-0yRaqY7nTE_0,-0yRaqY7nTE_0-5-rgb_front,1.25,1.64,Hi.
-0yRaqY7nTE,-0yRaqY7nTE-5-rgb_front,-0yRaqY7nTE_5,-0yRaqY7nTE_5-5-rgb_front,19.16,22.85,"Now next, there's many companies that you can sell your vehicle to."
-1KpdDGPCq4,-1KpdDGPCq4-5-rgb_front,-1KpdDGPCq4_1,-1KpdDGPCq4_1-5-rgb_front,3.64,5.35,Let's go ahead and put some ice in a glass.
-1KpdDGPCq4,-1KpdDGPCq4-5-rgb_front,-1KpdDGPCq4_2,-1KpdDGPCq4_2-5-rgb_front,6.4,11.96,And measure out two ounces of rum.
-1KpdDGPCq4,-1KpdDGPCq4-5-rgb_front,-1KpdDGPCq4_4,-1KpdDGPCq4_4-5-rgb_front,18.88,21.45,And we'll just fill it up with pineapple juice.
-1PeVdIwiq0,-1PeVdIwiq0-8-rgb_front,-1PeVdIwiq0_1,-1PeVdIwiq0_1-8-rgb_front,3.38,5.68,Today we're going to be talking about buying a new car.
-1PeVdIwiq0,-1PeVdIwiq0-8-rgb_front,-1PeVdIwiq0_14,-1PeVdIwiq0_14-8-rgb_front,99.67,104.12,"When it comes to buying a new car, remember, its ok to say no."
-1PeVdIwiq0,-1PeVdIwiq0-8-rgb_front,-1PeVdIwiq0_25,-1PeVdIwiq0_25-8-rgb_front,189.91,191.92,"Remember, don't be afraid to ask."
-1Uik-vwQoc,-1Uik-vwQoc-5-rgb_front,-1Uik-vwQoc_4,-1Uik-vwQoc_4-5-rgb_front,25.32,27.25,These are the colors that were in his collar.
-1Uik-vwQoc,-1Uik-vwQoc-5-rgb_front,-1Uik-vwQoc_8,-1Uik-vwQoc_8-5-rgb_front,55.57,58.13,They add a nice personal touch to your yard.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_0,-1XUnputrgk_0-5-rgb_front,0.82,4.18,"Okay, another thing that for me is important."
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_1,-1XUnputrgk_1-5-rgb_front,4.18,5.29,It may not be for you.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_10,-1XUnputrgk_10-5-rgb_front,32.47,34.2,Feel free to get the.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_11,-1XUnputrgk_11-5-rgb_front,34.2,36.59,"You have little masks, they're just paper masks."
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_14,-1XUnputrgk_14-5-rgb_front,41.31,45.71,Some of them are just made of paper.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_16,-1XUnputrgk_16-5-rgb_front,47.83,51.29,"You can get a pack of, you know, several for just a couple of dollars."
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_17,-1XUnputrgk_17-5-rgb_front,51.73,53.3,So make sure you.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_18,-1XUnputrgk_18-5-rgb_front,53.3,55.78,"If you have those, keep them in here on hand."
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_19,-1XUnputrgk_19-5-rgb_front,56.18,57.93,"You know, it protects your health when you're cleaning."
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_2,-1XUnputrgk_2-5-rgb_front,5.6,9.68,But for me I use very strong chemicals.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_22,-1XUnputrgk_22-5-rgb_front,64.94,68.35,And for your children if you have children that help out cleaning around the house.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_23,-1XUnputrgk_23-5-rgb_front,68.59,71.09,So I would recommend having a mask on hand.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_3,-1XUnputrgk_3-5-rgb_front,9.68,13.86,Some people may prefer to use products that don't have chemicals.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_5,-1XUnputrgk_5-5-rgb_front,18.27,21.92,I like to wear a mask while I'm cleaning.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_6,-1XUnputrgk_6-5-rgb_front,21.97,24.4,Because you don't need to be breathing those chemicals in.
-1XUnputrgk,-1XUnputrgk-5-rgb_front,-1XUnputrgk_8,-1XUnputrgk_8-5-rgb_front,27.02,29.15,"A lot of women, a lot of you out there."
-1eulcDdoVQ,-1eulcDdoVQ-5-rgb_front,-1eulcDdoVQ_1,-1eulcDdoVQ_1-5-rgb_front,9.66,12.21,"So, let's go over what we've got here."
-1fUFbij2s0,-1fUFbij2s0-5-rgb_front,-1fUFbij2s0_13,-1fUFbij2s0_13-5-rgb_front,77.61,82.75,And this is a fine sharpening stone just to touch up your blade a little bit.
-1fUFbij2s0,-1fUFbij2s0-5-rgb_front,-1fUFbij2s0_29,-1fUFbij2s0_29-5-rgb_front,156.21,157.91,You would do that for a little while.
-1fUFbij2s0,-1fUFbij2s0-5-rgb_front,-1fUFbij2s0_35,-1fUFbij2s0_35-5-rgb_front,186.64,190.24,"And as in anything, practice makes perfect."
-1fUFbij2s0,-1fUFbij2s0-5-rgb_front,-1fUFbij2s0_36,-1fUFbij2s0_36-5-rgb_front,190.24,193.47,"When we come back, we're going to use some of our knives."
-1fUFbij2s0,-1fUFbij2s0-5-rgb_front,-1fUFbij2s0_37,-1fUFbij2s0_37-5-rgb_front,193.47,193.75,See you then.
-1fUFbij2s0,-1fUFbij2s0-5-rgb_front,-1fUFbij2s0_7,-1fUFbij2s0_7-5-rgb_front,49.48,50.65,Believe me.
-1rM0t5FMiE,-1rM0t5FMiE-5-rgb_front,-1rM0t5FMiE_1,-1rM0t5FMiE_1-5-rgb_front,2.31,4.74,There are two types of scissors that I like to use.
-1rM0t5FMiE,-1rM0t5FMiE-5-rgb_front,-1rM0t5FMiE_5,-1rM0t5FMiE_5-5-rgb_front,41.45,45.59,It makes for a nice little leg here.
-1rM0t5FMiE,-1rM0t5FMiE-5-rgb_front,-1rM0t5FMiE_8,-1rM0t5FMiE_8-5-rgb_front,77.46,79.64,It makes for a nice scissor leg.
-23PZTqtDBw,-23PZTqtDBw-5-rgb_front,-23PZTqtDBw_11,-23PZTqtDBw_11-5-rgb_front,65.7,68.29,Again that is ten reps to fifteen reps per side.
-23PZTqtDBw,-23PZTqtDBw-5-rgb_front,-23PZTqtDBw_17,-23PZTqtDBw_17-5-rgb_front,100.38,103.19,Check us out again online and have a good workout.
-23PZTqtDBw,-23PZTqtDBw-5-rgb_front,-23PZTqtDBw_2,-23PZTqtDBw_2-5-rgb_front,6.08,6.4,Okay?
-23PZTqtDBw,-23PZTqtDBw-5-rgb_front,-23PZTqtDBw_7,-23PZTqtDBw_7-5-rgb_front,37.95,39.95,So touch and full extension out.
-23PZTqtDBw,-23PZTqtDBw-5-rgb_front,-23PZTqtDBw_8,-23PZTqtDBw_8-5-rgb_front,40.47,40.76,Alright?
-3bw4dQEyF8,-3bw4dQEyF8-5-rgb_front,-3bw4dQEyF8_8,-3bw4dQEyF8_8-5-rgb_front,76.93,78.86,"Stay safe, and we'll see you next time."
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_0,-3sFcDBFxc8_0-5-rgb_front,0.1,1.92,"All right, we're ready to start our fire."
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_11,-3sFcDBFxc8_11-5-rgb_front,55.53,57.46,Or even using matches and throwing those.
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_12,-3sFcDBFxc8_12-5-rgb_front,57.46,58.49,And these tend to work better.
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_14,-3sFcDBFxc8_14-5-rgb_front,61.58,62.99,We've got a flame in there.
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_15,-3sFcDBFxc8_15-5-rgb_front,65.24,66.43,It looks like its catching.
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_16,-3sFcDBFxc8_16-5-rgb_front,66.43,70.61,"Can definitely see smoke, and where there is smoke there is fire."
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_4,-3sFcDBFxc8_4-5-rgb_front,22.04,25.56,"Well, you should light all around the fire, two, three, four spots if you can."
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_6,-3sFcDBFxc8_6-5-rgb_front,34.66,37.1,Maybe we won't have to light it in different spots around.
-3sFcDBFxc8,-3sFcDBFxc8-5-rgb_front,-3sFcDBFxc8_8,-3sFcDBFxc8_8-5-rgb_front,40.89,44.16,"So I'm going to go ahead and dip down here, and hopefully you can see this."
-4Sl9mPOlfA,-4Sl9mPOlfA-3-rgb_front,-4Sl9mPOlfA_2,-4Sl9mPOlfA_2-3-rgb_front,20.24,23.75,Make sure you get all the way to the end.
-4Sl9mPOlfA,-4Sl9mPOlfA-3-rgb_front,-4Sl9mPOlfA_3,-4Sl9mPOlfA_3-3-rgb_front,24.37,25.58,Cover everything.
-4Sl9mPOlfA,-4Sl9mPOlfA-3-rgb_front,-4Sl9mPOlfA_5,-4Sl9mPOlfA_5-3-rgb_front,33.66,36.6,And then we'll brush it out a little bit.
-4Sl9mPOlfA,-4Sl9mPOlfA-3-rgb_front,-4Sl9mPOlfA_6,-4Sl9mPOlfA_6-3-rgb_front,40.06,42.79,That looks pretty good.
-4Sl9mPOlfA,-4Sl9mPOlfA-3-rgb_front,-4Sl9mPOlfA_7,-4Sl9mPOlfA_7-3-rgb_front,43.28,47.12,Set that down and we're going to do the same thing to this side.
-6PULg1jlpc,-6PULg1jlpc-5-rgb_front,-6PULg1jlpc_0,-6PULg1jlpc_0-5-rgb_front,0.2,3.18,"O.k., perfect we're going to get started in a second."
-6PULg1jlpc,-6PULg1jlpc-5-rgb_front,-6PULg1jlpc_11,-6PULg1jlpc_11-5-rgb_front,60.61,65,So make sure to use a good cleansing product when removing makeup.
-6PULg1jlpc,-6PULg1jlpc-5-rgb_front,-6PULg1jlpc_15,-6PULg1jlpc_15-5-rgb_front,86.32,90.47,So don't be afraid to go back over your face again a second time.
-6PULg1jlpc,-6PULg1jlpc-5-rgb_front,-6PULg1jlpc_16,-6PULg1jlpc_16-5-rgb_front,90.96,96.53,"Remember, cleansing your skin is very easy and you can do it yourself at home."
-6PULg1jlpc,-6PULg1jlpc-5-rgb_front,-6PULg1jlpc_2,-6PULg1jlpc_2-5-rgb_front,8.58,10.21,"How do I get rid of this makeup?"""
-6PULg1jlpc,-6PULg1jlpc-5-rgb_front,-6PULg1jlpc_3,-6PULg1jlpc_3-5-rgb_front,10.69,12.79,"Well, today I'm going to show you how."
-6PULg1jlpc,-6PULg1jlpc-5-rgb_front,-6PULg1jlpc_7,-6PULg1jlpc_7-5-rgb_front,36.62,40.48,So what you're going to do is go ahead and begin to wash your face.
-6YYqn8lplg,-6YYqn8lplg-5-rgb_front,-6YYqn8lplg_13,-6YYqn8lplg_13-5-rgb_front,80.46,83.32,And then you need to continue stepping off your floor.
-6YYqn8lplg,-6YYqn8lplg-5-rgb_front,-6YYqn8lplg_14,-6YYqn8lplg_14-5-rgb_front,83.74,87.67,Now it's really important for these to go really fast for them to be effective.
-6YYqn8lplg,-6YYqn8lplg-5-rgb_front,-6YYqn8lplg_5,-6YYqn8lplg_5-5-rgb_front,38,40.02,That's where we're going to get all of our momentum from.
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_0,-6vHGMCTYyI_0-5-rgb_front,0.31,3.73,"Alright, we've taken a look at what it is that you're good at."
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_10,-6vHGMCTYyI_10-5-rgb_front,42.42,44.01,What did you get out of that?
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_12,-6vHGMCTYyI_12-5-rgb_front,54.92,59.33,That's how you have to think about in terms of past work experience.
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_2,-6vHGMCTYyI_2-5-rgb_front,11.6,14.3,What kind of jobs have you had before?
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_4,-6vHGMCTYyI_4-5-rgb_front,21.92,27.13,"Or maybe you have had some, feel like of a better word, ""real jobs""."
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_5,-6vHGMCTYyI_5-5-rgb_front,27.45,30.69,What you want to do is take a look at that work experience.
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_6,-6vHGMCTYyI_6-5-rgb_front,31.27,32.89,What did you gain from it?
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_8,-6vHGMCTYyI_8-5-rgb_front,36.8,39.12,Did you gain customer service skills?
-6vHGMCTYyI,-6vHGMCTYyI-5-rgb_front,-6vHGMCTYyI_9,-6vHGMCTYyI_9-5-rgb_front,39.12,41.81,"Don't just think in terms of ""well I worked here""."
-70D86eMmIc,-70D86eMmIc-5-rgb_front,-70D86eMmIc_12,-70D86eMmIc_12-5-rgb_front,97.04,98.46,"Next stop, South America."
-70D86eMmIc,-70D86eMmIc-5-rgb_front,-70D86eMmIc_14,-70D86eMmIc_14-5-rgb_front,122.93,124.76,"They're beautiful, beautiful plants."
-70D86eMmIc,-70D86eMmIc-5-rgb_front,-70D86eMmIc_2,-70D86eMmIc_2-5-rgb_front,6.47,10.11,I wanted to talk about where in the world do flower bulbs come from.
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_10,-7BtY3iQIdo_10-8-rgb_front,46.01,47.89,"So, you want to put pressure."
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_11,-7BtY3iQIdo_11-8-rgb_front,48.67,50.43,Release pressure and pull up.
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_12,-7BtY3iQIdo_12-8-rgb_front,51.64,54.36,"Squeeze, release and pull up."
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_14,-7BtY3iQIdo_14-8-rgb_front,64,67.12,"And, then we'll move onto the cake."
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_18,-7BtY3iQIdo_18-8-rgb_front,91.97,95.41,Releasing pressure before you pull up.
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_2,-7BtY3iQIdo_2-8-rgb_front,11.15,13.22,It's just a regular writing tip.
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_21,-7BtY3iQIdo_21-8-rgb_front,116.08,123.7,Just make a loop and another loop and two little strings coming down.
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_22,-7BtY3iQIdo_22-8-rgb_front,125.11,128.08,"And, then just a little dot there for the tie."
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_4,-7BtY3iQIdo_4-8-rgb_front,17.64,18.98,Make it nice and tight.
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_5,-7BtY3iQIdo_5-8-rgb_front,19.71,21.29,"And, you'll make little dots."
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_7,-7BtY3iQIdo_7-8-rgb_front,32.95,36.77,"And, as soon as it gets about this big then you pull it up."
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_8,-7BtY3iQIdo_8-8-rgb_front,37.25,41.93,"Now, you don't want to squeeze squeeze squeeze and pull up and squeeze."
-7BtY3iQIdo,-7BtY3iQIdo-8-rgb_front,-7BtY3iQIdo_9,-7BtY3iQIdo_9-8-rgb_front,42.38,45.41,"Because, you'll end up with something that looks like that."
-7ZqO3skAxk,-7ZqO3skAxk-8-rgb_front,-7ZqO3skAxk_1,-7ZqO3skAxk_1-8-rgb_front,9.72,16.22,And what I mean by that is think about what you say before you say it.
-7ZqO3skAxk,-7ZqO3skAxk-8-rgb_front,-7ZqO3skAxk_3,-7ZqO3skAxk_3-8-rgb_front,26.53,27.91,"""You can never take it back."""
-7ZqO3skAxk,-7ZqO3skAxk-8-rgb_front,-7ZqO3skAxk_4,-7ZqO3skAxk_4-8-rgb_front,28.56,31.39,So once the words are out there they are out there.
-7ZqO3skAxk,-7ZqO3skAxk-8-rgb_front,-7ZqO3skAxk_5,-7ZqO3skAxk_5-8-rgb_front,31.66,35.25,So think about what you're going to say before you say it.
-88OcTs9MPs,-88OcTs9MPs-8-rgb_front,-88OcTs9MPs_5,-88OcTs9MPs_5-8-rgb_front,60.69,61.9,They are not good for you.
-88OcTs9MPs,-88OcTs9MPs-8-rgb_front,-88OcTs9MPs_6,-88OcTs9MPs_6-8-rgb_front,62.4,65.88,So that is how to get the paint smell out of your house.
-8AYi1n0UWo,-8AYi1n0UWo-8-rgb_front,-8AYi1n0UWo_7,-8AYi1n0UWo_7-8-rgb_front,35.04,36.81,It makes them weak and sick.
-8EJ9aomFAc,-8EJ9aomFAc-8-rgb_front,-8EJ9aomFAc_5,-8EJ9aomFAc_5-8-rgb_front,31.15,33.4,You can get rid of all of that old wrapping paper.
-8EJ9aomFAc,-8EJ9aomFAc-8-rgb_front,-8EJ9aomFAc_8,-8EJ9aomFAc_8-8-rgb_front,45.09,50.07,And I will go ahead and just place my hat on and say thank you.
-8L6L9fFWK8,-8L6L9fFWK8-8-rgb_front,-8L6L9fFWK8_0,-8L6L9fFWK8_0-8-rgb_front,0.45,0.67,Hi.
-8L6L9fFWK8,-8L6L9fFWK8-8-rgb_front,-8L6L9fFWK8_4,-8L6L9fFWK8_4-8-rgb_front,22.49,26.03,"And it's again, it's the using your legs and using your arms."
-8L6L9fFWK8,-8L6L9fFWK8-8-rgb_front,-8L6L9fFWK8_8,-8L6L9fFWK8_8-8-rgb_front,53.9,55.18,I didn't have to run around.
-8XxBfXAzyo,-8XxBfXAzyo-8-rgb_front,-8XxBfXAzyo_19,-8XxBfXAzyo_19-8-rgb_front,152.78,154.24,She's trying to make sure that I know that I'm not welcome in her cage.
-8j9K3T5lkw,-8j9K3T5lkw-8-rgb_front,-8j9K3T5lkw_6,-8j9K3T5lkw_6-8-rgb_front,22.77,23.54,Let's take a look.
-8smPvP08mU,-8smPvP08mU-8-rgb_front,-8smPvP08mU_12,-8smPvP08mU_12-8-rgb_front,81.84,84.06,Everything falls into place after that.
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_10,-8tIt1vEinQ_10-8-rgb_front,50.14,50.55,Okay.
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_11,-8tIt1vEinQ_11-8-rgb_front,52.82,54.47,What colors do you think going to look good with it?
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_12,-8tIt1vEinQ_12-8-rgb_front,55.08,62.06,"I don't know, let's try some yellow."
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_13,-8tIt1vEinQ_13-8-rgb_front,62.06,65.5,Just butt it up right next to it.
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_14,-8tIt1vEinQ_14-8-rgb_front,65.5,66.25,Yeah sure they look good together.
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_16,-8tIt1vEinQ_16-8-rgb_front,72.49,73.26,What about pink?
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_17,-8tIt1vEinQ_17-8-rgb_front,74.45,75.48,Does pink look good with brown?
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_18,-8tIt1vEinQ_18-8-rgb_front,76.93,82.19,Yes it does.
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_19,-8tIt1vEinQ_19-8-rgb_front,82.38,83.64,It looks very good with brown.
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_20,-8tIt1vEinQ_20-8-rgb_front,84.92,88.57,"You just got to remember that, don't be afraid to put colors together."
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_23,-8tIt1vEinQ_23-8-rgb_front,105.29,106.97,So don't be afraid to put colors together.
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_25,-8tIt1vEinQ_25-8-rgb_front,112.15,112.53,Thank you.
-8tIt1vEinQ,-8tIt1vEinQ-8-rgb_front,-8tIt1vEinQ_3,-8tIt1vEinQ_3-8-rgb_front,24.4,26.24,And you'll see that I have multiple air brushes.
